"","3.1.2.Proporción de partos con asistencia de personal sanitario especializado","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guerrero","67,712","68,543","61,407","61,865","60,772","58,515","53,223","51,760","49,730","46,129","43,296","41,876","41,227","39,617","39,303","38,591","39,650","39,828","39,555","38,088","39,760","40,266","38,446","36,532","35,056","32,407","32,678"
"Hidalgo","53,794","54,509","54,220","55,021","54,680","55,165","51,020","46,967","47,349","47,219","46,375","45,647","44,026","44,285","44,620","43,091","44,183","41,635","43,166","40,984","41,242","43,117","43,559","43,348","42,128","41,056","38,853"
"Jalisco","140,514","145,573","150,580","151,378","153,434","153,930","144,870","140,357","136,613","131,761","122,943","123,618","98,239","128,798","101,734","116,238","151,035","149,840","149,765","143,429","144,021","147,606","152,370","149,553","151,847","146,330","144,151"
"México","287,519","284,804","271,088","275,779","285,339","276,977","245,559","152,764","247,927","262,783","264,651","256,051","251,955","248,061","246,164","244,230","241,905","229,356","219,068","209,283","204,517","207,601","206,584","199,208","195,914","190,833","186,010"
"Michoacán de Ocampo","84,663","87,035","88,473","91,122","91,236","87,073","89,333","86,664","82,252","76,807","74,380","77,574","80,649","81,404","83,842","84,979","89,131","87,665","87,929","86,213","85,487","41,999","50,717","81,071","82,991","82,205","81,656"
"Morelos","32,361","33,205","33,565","34,006","33,368","32,413","30,203","29,562","29,224","28,339","28,123","27,773","27,712","27,217","27,820","28,053","28,599","27,444","26,793","25,848","26,094","26,734","26,944","26,937","25,939","25,245","25,370"
"Nayarit","19,914","20,099","19,025","20,000","19,925","19,568","17,271","17,020","17,244","17,337","16,740","16,645","16,721","16,632","16,902","16,843","17,791","17,743","18,005","17,334","17,603","18,747","18,907","17,504","17,127","16,282","17,113"
"Nuevo León","93,641","93,837","91,204","87,974","82,939","85,291","85,964","86,068","85,589","85,478","82,953","80,901","81,072","81,275","80,440","86,614","91,863","88,587","87,401","82,551","79,084","81,222","81,630","80,545","78,777","77,794","76,818"
"Oaxaca","77,790","76,961","71,484","70,016","68,748","66,229","68,454","64,717","61,946","57,161","54,755","52,859","52,489","50,965","50,184","47,943","49,100","45,951","44,421","42,613","42,537","43,429","42,021","41,549","40,606","39,261","39,586"
"Puebla","118,787","119,434","116,906","118,723","119,006","114,796","106,402","105,814","106,036","102,290","99,686","96,563","96,786","95,726","99,148","99,978","97,710","93,328","91,729","87,189","84,193","85,041","84,425","82,366","81,290","77,608","76,129"
"Querétaro","40,633","41,527","41,823","41,150","41,636","40,836","40,176","39,389","39,771","39,703","37,713","37,119","36,052","36,159","35,907","34,941","34,788","33,441","31,282","29,560","30,041","31,421","31,900","31,869","30,755","29,002","28,407"
"Quintana Roo","26,917","27,720","27,476","27,101","26,439","24,788","23,409","24,833","23,990","23,303","22,843","21,381","19,907","19,256","19,188","18,902","19,027","17,491","16,161","15,334","14,999","14,757","14,349","13,764","12,831","11,638","10,815"
"San Luis Potosí","51,439","51,976","52,599","52,521","53,438","53,298","47,684","46,262","47,882","47,036","46,614","46,609","46,641","46,028","47,221","46,585","48,253","45,145","44,078","42,768","42,439","43,677","43,726","43,439","42,920","40,496","39,107"
"Sinaloa","49,968","55,335","51,650","53,367","53,982","54,384","51,812","52,272","53,527","51,821","51,815","36,584","48,516","50,609","51,706","50,719","52,225","52,944","53,630","54,554","55,751","57,188","57,504","56,117","55,039","52,389","50,759"
"Sonora","52,662","52,864","53,307","52,210","51,323","54,496","48,073","49,181","49,403","49,843","48,782","49,016","48,523","49,178","51,077","51,776","52,007","50,925","50,560","50,315","49,586","49,459","49,805","49,560","50,788","48,286","48,661"
"Tabasco","47,796","51,339","49,798","51,202","49,841","50,638","37,424","37,764","38,518","38,922","36,678","35,700","34,548","32,724","30,318","29,239","30,343","28,249","26,967","26,288","25,640","24,565","24,111","23,186","24,231","23,327","23,200"
"Tamaulipas","59,337","61,677","62,237","62,225","64,086","65,826","61,159","64,113","65,420","63,953","61,495","60,349","61,174","59,903","59,814","61,221","63,036","59,150","57,500","55,476","54,930","55,070","55,265","55,107","56,552","56,395","56,002"
"Tlaxcala","23,550","24,662","25,127","25,793","26,512","25,410","24,143","23,857","23,724","23,102","22,987","22,602","23,570","23,679","23,470","23,705","24,540","22,175","22,665","21,182","20,703","21,787","21,358","20,616","20,620","20,354","20,165"
"Veracruz de Ignacio de la Llave","130,170","131,907","126,985","128,305","130,979","132,863","125,420","120,151","116,937","111,501","105,257","101,266","100,660","100,725","101,485","99,065","100,812","97,618","98,490","92,837","90,757","92,883","93,704","90,970","90,272","89,420","89,736"
"Yucatán","40,389","40,459","40,538","39,508","40,319","39,215","35,122","35,709","34,634","34,455","33,956","33,370","31,100","34,287","34,304","34,259","34,594","32,220","31,392","30,422","30,406","31,437","30,208","28,076","27,773","26,823","25,547"
"Zacatecas","30,016","30,020","30,022","30,888","30,636","29,857","30,502","29,761","30,740","30,125","29,188","29,104","29,341","29,102","29,286","28,776","30,337","33,258","32,986","30,417","29,914","30,320","27,075","25,872","25,442","24,711","23,112"
