"","3.2.1.Tasa de mortalidad de niños menores de 5 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nuevo León","1,043","1,076","1,003","974","937","963","988","1,014","1,041","1,069","1,100","1,135","1,172","1,213","1,254","1,304","1,357","1,415","1,476","1,549","1,627","1,713","1,808","1,922","2,047","2,190"
"Oaxaca","1,449","1,508","1,574","1,667","1,753","1,837","1,933","2,020","2,121","2,233","2,361","2,485","2,626","2,791","2,972","3,170","3,382","3,609","3,850","4,101","4,367","4,649","4,939","5,246","5,553","5,880"
"Puebla","2,129","2,130","2,333","2,493","2,645","2,767","2,901","3,025","3,165","3,318","3,496","3,659","3,842","4,035","4,247","4,479","4,712","4,955","5,204","5,493","5,813","6,133","6,408","6,684","6,994","7,323"
"Querétaro","515","502","561","567","543","592","617","642","668","694","720","750","786","823","866","915","964","1,017","1,073","1,132","1,194","1,259","1,326","1,394","1,467","1,535"
"Quintana Roo","398","394","377","380","395","415","417","417","424","419","409","410","413","418","423","432","441","453","467","481","496","514","532","554","572","591"
"San Luis Potosí","773","841","861","852","914","946","987","1,023","1,064","1,109","1,164","1,219","1,281","1,348","1,423","1,501","1,586","1,676","1,775","1,875","1,983","2,095","2,216","2,341","2,478","2,622"
"Sinaloa","642","568","620","637","748","691","719","743","770","801","832","867","905","949","991","1,043","1,095","1,155","1,217","1,280","1,345","1,414","1,475","1,544","1,613","1,682"
"Sonora","651","634","679","791","721","782","809","830","850","873","898","925","955","989","1,027","1,070","1,116","1,168","1,225","1,290","1,356","1,429","1,510","1,596","1,688","1,781"
"Tabasco","839","820","813","832","855","741","773","803","835","873","914","953","993","1,039","1,088","1,138","1,196","1,256","1,319","1,383","1,454","1,528","1,603","1,680","1,761","1,844"
"Tamaulipas","835","874","914","888","875","924","970","1,016","1,058","1,083","1,103","1,127","1,153","1,187","1,221","1,260","1,297","1,340","1,389","1,445","1,504","1,570","1,649","1,746","1,855","1,984"
"Tlaxcala","388","366","410","464","421","490","513","534","557","583","613","641","672","703","740","778","817","860","902","948","994","1,040","1,086","1,131","1,174","1,218"
"Veracruz de Ignacio de la Llave","2,262","2,228","2,523","2,535","2,587","2,673","2,791","2,906","3,037","3,191","3,364","3,550","3,758","3,993","4,246","4,526","4,830","5,150","5,483","5,821","6,161","6,496","6,827","7,160","7,513","7,884"
"Yucatán","531","521","501","539","496","573","589","601","615","631","651","672","692","720","747","778","813","851","895","941","986","1,035","1,082","1,133","1,179","1,222"
"Zacatecas","420","420","423","415","423","465","491","509","532","553","584","615","646","682","725","773","827","887","954","1,023","1,097","1,175","1,256","1,346","1,441","1,543"
