"","1.2.1.Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chihuahua","3,680","NA","NA","NA","NA","NA","NA","NA","NA","3,610","NA","NA","NA","NA","NA","NA","NA","NA","3,534","NA","NA","NA","NA","NA","NA","NA","NA"
"Ciudad de México","8,820","NA","NA","NA","NA","NA","NA","NA","NA","8,875","NA","NA","NA","NA","NA","NA","NA","NA","8,889","NA","NA","NA","NA","NA","NA","NA","NA"
"Durango","1,751","NA","NA","NA","NA","NA","NA","NA","NA","1,715","NA","NA","NA","NA","NA","NA","NA","NA","1,676","NA","NA","NA","NA","NA","NA","NA","NA"
"Guanajuato","5,764","NA","NA","NA","NA","NA","NA","NA","NA","5,680","NA","NA","NA","NA","NA","NA","NA","NA","5,573","NA","NA","NA","NA","NA","NA","NA","NA"
"Guerrero","3,550","NA","NA","NA","NA","NA","NA","NA","NA","3,505","NA","NA","NA","NA","NA","NA","NA","NA","3,448","NA","NA","NA","NA","NA","NA","NA","NA"
"Hidalgo","2,850","NA","NA","NA","NA","NA","NA","NA","NA","2,778","NA","NA","NA","NA","NA","NA","NA","NA","2,702","NA","NA","NA","NA","NA","NA","NA","NA"
"Jalisco","7,861","NA","NA","NA","NA","NA","NA","NA","NA","7,668","NA","NA","NA","NA","NA","NA","NA","NA","7,467","NA","NA","NA","NA","NA","NA","NA","NA"
"México","16,673","NA","NA","NA","NA","NA","NA","NA","NA","16,166","NA","NA","NA","NA","NA","NA","NA","NA","15,649","NA","NA","NA","NA","NA","NA","NA","NA"
"Michoacán de Ocampo","4,572","NA","NA","NA","NA","NA","NA","NA","NA","4,502","NA","NA","NA","NA","NA","NA","NA","NA","4,431","NA","NA","NA","NA","NA","NA","NA","NA"
"Morelos","1,901","NA","NA","NA","NA","NA","NA","NA","NA","1,856","NA","NA","NA","NA","NA","NA","NA","NA","1,809","NA","NA","NA","NA","NA","NA","NA","NA"
"Nayarit","1,207","NA","NA","NA","NA","NA","NA","NA","NA","1,162","NA","NA","NA","NA","NA","NA","NA","NA","1,115","NA","NA","NA","NA","NA","NA","NA","NA"
"Nuevo León","5,022","NA","NA","NA","NA","NA","NA","NA","NA","4,873","NA","NA","NA","NA","NA","NA","NA","NA","4,731","NA","NA","NA","NA","NA","NA","NA","NA"
"Oaxaca","3,989","NA","NA","NA","NA","NA","NA","NA","NA","3,931","NA","NA","NA","NA","NA","NA","NA","NA","3,876","NA","NA","NA","NA","NA","NA","NA","NA"
"Puebla","6,134","NA","NA","NA","NA","NA","NA","NA","NA","6,015","NA","NA","NA","NA","NA","NA","NA","NA","5,882","NA","NA","NA","NA","NA","NA","NA","NA"
"Querétaro","1,977","NA","NA","NA","NA","NA","NA","NA","NA","1,916","NA","NA","NA","NA","NA","NA","NA","NA","1,852","NA","NA","NA","NA","NA","NA","NA","NA"
"Quintana Roo","1,541","NA","NA","NA","NA","NA","NA","NA","NA","1,452","NA","NA","NA","NA","NA","NA","NA","NA","1,362","NA","NA","NA","NA","NA","NA","NA","NA"
"San Luis Potosí","2,725","NA","NA","NA","NA","NA","NA","NA","NA","2,680","NA","NA","NA","NA","NA","NA","NA","NA","2,625","NA","NA","NA","NA","NA","NA","NA","NA"
"Sinaloa","2,964","NA","NA","NA","NA","NA","NA","NA","NA","2,911","NA","NA","NA","NA","NA","NA","NA","NA","2,860","NA","NA","NA","NA","NA","NA","NA","NA"
"Sonora","2,902","NA","NA","NA","NA","NA","NA","NA","NA","2,820","NA","NA","NA","NA","NA","NA","NA","NA","2,731","NA","NA","NA","NA","NA","NA","NA","NA"
"Tabasco","2,360","NA","NA","NA","NA","NA","NA","NA","NA","2,313","NA","NA","NA","NA","NA","NA","NA","NA","2,262","NA","NA","NA","NA","NA","NA","NA","NA"
"Tamaulipas","3,509","NA","NA","NA","NA","NA","NA","NA","NA","3,430","NA","NA","NA","NA","NA","NA","NA","NA","3,342","NA","NA","NA","NA","NA","NA","NA","NA"
"Tlaxcala","1,264","NA","NA","NA","NA","NA","NA","NA","NA","1,230","NA","NA","NA","NA","NA","NA","NA","NA","1,192","NA","NA","NA","NA","NA","NA","NA","NA"
"Veracruz de Ignacio de la Llave","7,989","NA","NA","NA","NA","NA","NA","NA","NA","7,867","NA","NA","NA","NA","NA","NA","NA","NA","7,725","NA","NA","NA","NA","NA","NA","NA","NA"
"Yucatán","2,089","NA","NA","NA","NA","NA","NA","NA","NA","2,040","NA","NA","NA","NA","NA","NA","NA","NA","1,984","NA","NA","NA","NA","NA","NA","NA","NA"
"Zacatecas","1,566","NA","NA","NA","NA","NA","NA","NA","NA","1,541","NA","NA","NA","NA","NA","NA","NA","NA","1,513","NA","NA","NA","NA","NA","NA","NA","NA"
