"","4.6.4.Tasa de alfabetización de los hombres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciudad de México","678,039","687,670","697,771","708,160","718,624","729,092","739,771","750,677","761,512","771,760","781,997","792,464","803,224","814,511","825,530","836,171","846,417","856,361","867,558","878,913","889,798","899,589","907,797","914,206","918,891","922,054","923,821"
"Durango","166,828","166,095","165,021","163,569","161,757","159,730","157,566","155,356","153,583","151,373","149,362","147,853","146,860","147,000","147,433","148,015","148,677","149,474","151,599","153,769","155,770","157,429","158,617","159,283","159,450","159,173","158,502"
"Guanajuato","544,068","543,112","540,992","537,515","532,673","527,077","521,223","514,811","508,532","502,651","499,847","500,628","504,307","508,813","513,937","519,070","524,431","530,710","538,308","545,619","551,531","555,489","557,168","556,519","553,709","548,968","542,542"
"Guerrero","352,094","351,288","349,401","346,180","341,676","336,144","330,060","323,707","317,510","311,620","306,948","303,871","302,527","302,965","304,262","306,183","308,540","311,333","315,731","320,263","324,413","327,787","330,166","331,521","331,995","331,737","330,777"
"Hidalgo","257,279","255,805","253,979","251,789","249,178","246,041","242,317","238,060","233,705","229,483","226,236","224,254","223,472","223,557","224,205","225,406","227,265","229,750","233,208","236,715","239,882","242,454","244,266","245,303","245,580","245,127","243,993"
"Jalisco","715,760","714,649","712,919","710,373","706,834","702,161","696,387","689,639","681,940","673,619","666,149","659,984","654,892","652,959","651,259","649,750","648,601","647,873","651,840","655,632","658,332","659,404","658,547","655,527","650,356","643,254","634,483"
"México","1,514,648","1,504,273","1,492,180","1,478,086","1,461,687","1,442,963","1,422,441","1,400,607","1,378,268","1,356,518","1,336,658","1,318,773","1,302,997","1,290,263","1,279,006","1,268,973","1,260,290","1,252,997","1,248,362","1,242,607","1,234,930","1,224,674","1,211,365","1,194,638","1,174,344","1,150,605","1,123,752"
"Michoacán de Ocampo","419,105","420,177","420,543","420,017","418,505","416,127","413,071","409,401","405,444","401,310","398,544","397,700","398,565","401,939","405,635","409,381","413,289","417,495","425,230","432,947","439,743","445,052","448,568","450,226","450,168","448,580","445,732"
"Morelos","169,770","169,719","169,314","168,532","167,386","165,854","163,921","161,667","159,180","156,575","154,242","152,406","151,042","150,698","150,527","150,493","150,640","150,965","152,634","154,248","155,536","156,327","156,566","156,222","155,309","153,908","152,113"
"Nayarit","109,389","108,484","107,522","106,449","105,254","103,975","102,571","100,990","99,261","97,526","96,005","94,800","93,904","93,647","93,532","93,474","93,491","93,649","94,522","95,339","95,960","96,303","96,288","95,911","95,209","94,214","92,979"
"Nuevo León","439,290","435,297","431,245","427,227","423,395","419,905","416,628","413,035","409,775","406,889","404,551","402,884","401,859","401,800","401,985","402,226","402,413","402,373","402,735","402,610","401,739","399,904","396,916","392,718","387,345","380,885","373,465"
"Oaxaca","374,088","373,250","371,296","368,129","363,851","358,892","353,655","348,239","343,403","339,094","336,558","336,381","338,498","339,983","342,146","344,513","346,999","349,846","351,182","352,341","352,929","352,730","351,689","349,890","347,495","344,643","341,326"
"Puebla","585,518","582,565","578,350","572,792","566,003","558,252","549,908","540,725","531,555","523,007","516,837","513,244","511,932","510,114","509,074","508,555","508,520","508,939","508,073","507,021","505,224","502,342","498,190","492,817","486,396","479,024","470,795"
"Querétaro","185,854","184,921","183,705","182,157","180,265","178,026","175,489","172,708","169,891","167,108","164,843","163,191","162,103","160,734","159,502","158,380","157,434","156,664","155,516","154,289","152,852","151,110","149,001","146,521","143,726","140,670","137,369"
"Quintana Roo","146,292","144,860","143,398","141,860","140,228","138,473","136,559","134,464","132,230","129,825","127,283","124,653","121,946","118,946","115,750","112,373","108,851","105,191","101,260","97,247","93,179","89,054","84,886","80,692","76,494","72,307","68,127"
"San Luis Potosí","257,374","256,634","255,309","253,344","250,678","247,360","243,586","239,462","235,161","230,883","227,416","224,998","223,592","223,550","224,012","224,893","226,250","228,153","231,686","235,275","238,496","241,046","242,749","243,571","243,586","242,840","241,343"
"Sinaloa","269,305","268,788","267,892","266,659","265,138","263,473","261,725","259,924","257,781","255,599","253,674","252,304","251,521","251,838","252,380","252,962","253,349","253,572","254,860","256,079","256,935","257,225","256,788","255,584","253,673","251,139","248,108"
"Sonora","263,708","262,013","260,079","257,862","255,348","252,537","249,451","246,237","243,077","239,955","237,159","234,895","233,138","231,377","229,878","228,645","227,623","226,660","225,453","224,238","222,769","220,941","218,709","216,052","212,966","209,446","205,557"
"Tabasco","220,093","219,633","218,952","218,008","216,774","215,259","213,496","211,546","209,545","207,573","205,676","203,916","202,333","200,757","199,327","198,023","196,804","195,630","194,254","192,628","190,737","188,562","186,074","183,276","180,220","176,961","173,539"
"Tamaulipas","309,756","307,712","305,402","302,810","300,000","297,065","294,113","291,392","288,722","286,046","283,706","281,859","280,413","279,411","278,421","277,283","275,894","274,074","272,540","270,993","269,225","267,101","264,536","261,481","257,932","253,940","249,607"
"Tlaxcala","119,952","118,937","117,737","116,337","114,748","112,967","111,037","109,015","107,041","105,088","103,431","102,144","101,208","100,065","99,048","98,144","97,337","96,619","95,544","94,469","93,331","92,099","90,701","89,139","87,446","85,642","83,763"
"Veracruz de Ignacio de la Llave","725,358","725,898","724,671","721,358","715,788","708,032","698,528","687,585","676,390","665,801","657,341","651,537","648,428","647,338","648,368","651,513","656,882","664,663","674,259","683,827","692,556","699,719","704,787","707,463","707,748","705,626","700,961"
"Yucatán","189,028","189,567","189,886","189,867","189,491","188,718","187,588","186,124","184,387","182,415","180,351","178,269","176,314","174,326","172,374","170,420","168,406","166,341","164,159","161,988","159,761","157,385","154,838","152,107","149,223","146,239","143,182"
"Zacatecas","143,019","142,858","142,474","141,798","140,838","139,657","138,340","136,914","135,449","134,016","133,139","132,991","133,497","135,333","137,340","139,424","141,605","144,000","148,186","152,410","156,319","159,669","162,309","164,190","165,372","165,918","165,873"
