"","4.6.4.Tasa de alfabetización de los hombres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guerrero","345,193","343,820","341,269","334,690","329,838","323,981","317,596","310,967","304,331","297,580","291,964","287,906","285,550","284,855","284,938","285,579","286,615","288,022","291,553","295,281","298,617","301,180","302,856","303,624","303,253","302,228","300,249"
"Hidalgo","255,276","253,702","251,703","248,747","246,038","242,812","239,006","234,676","230,838","226,210","222,544","220,121","218,872","218,463","218,594","219,254","220,545","222,426","225,464","228,588","231,267","233,500","234,827","235,427","235,211","234,263","232,583"
"Jalisco","709,470","708,159","706,178","702,354","698,561","693,654","687,663","680,718","673,931","665,015","656,924","650,101","644,324","641,639","639,165","636,934","635,082","633,618","637,218","640,652","642,805","643,504","642,372","639,107","633,513","626,231","617,118"
"México","1,508,525","1,497,621","1,484,890","1,468,401","1,451,629","1,432,559","1,411,719","1,389,594","1,363,510","1,341,286","1,320,941","1,302,565","1,286,295","1,273,046","1,261,271","1,250,714","1,241,543","1,233,763","1,229,195","1,223,238","1,215,400","1,204,932","1,191,275","1,174,301","1,153,815","1,129,947","1,103,042"
"Michoacán de Ocampo","412,694","413,113","412,808","410,295","408,462","405,781","402,439","398,505","390,923","386,051","382,468","380,734","380,653","382,951","385,533","388,147","390,922","393,948","400,854","407,890","413,863","418,842","421,802","422,886","422,277","420,158","416,807"
"Morelos","168,176","167,968","167,416","166,434","165,203","163,590","161,582","159,258","156,860","154,058","151,522","149,481","147,912","147,343","146,941","146,674","146,578","146,657","148,230","149,699","150,894","151,489","151,694","151,325","150,434","148,971","147,161"
"Nayarit","108,310","107,324","106,321","104,925","103,685","102,365","100,925","99,313","96,944","95,145","93,553","92,262","91,266","90,892","90,654","90,472","90,366","90,394","91,186","91,925","92,511","92,848","92,812","92,451","91,737","90,734","89,466"
"Nuevo León","437,827","433,710","429,551","425,417","421,498","417,924","414,567","410,900","405,967","403,014","400,608","398,858","397,736","397,569","397,644","397,777","397,886","397,768","398,109","397,972","396,968","395,090","392,107","387,938","382,600","376,072","368,711"
"Oaxaca","368,269","367,068","364,596","359,808","355,253","350,031","344,547","338,899","333,043","328,020","324,678","323,624","324,799","325,346","326,519","327,875","329,345","331,135","332,014","332,710","332,939","332,744","331,107","328,647","325,563","321,991","317,851"
"Puebla","577,890","574,528","569,709","561,678","554,529","546,441","537,782","528,310","515,262","506,021","499,057","494,600","492,372","489,648","487,661","486,169","485,168","484,558","483,302","481,886","479,617","476,983","472,432","466,791","459,976","452,391","443,705"
"Querétaro","184,965","183,828","182,397","180,450","178,471","176,152","173,543","170,696","168,414","165,449","162,992","161,140","159,845","158,269","156,826","155,489","154,309","153,304","152,068","150,726","149,148","147,292","145,126","142,539","139,643","136,495","133,113"
"Quintana Roo","145,217","143,769","142,228","140,263","138,611","136,841","134,918","132,818","130,471","127,979","125,347","122,622","119,813","116,715","113,424","109,936","106,307","102,561","98,486","94,375","90,221","85,953","81,744","77,523","73,274","69,075","64,894"
"San Luis Potosí","255,334","254,397","252,863","250,231","247,455","244,034","240,164","235,951","231,541","227,022","223,292","220,589","218,879","218,495","218,592","219,102","220,078","221,552","224,728","227,954","230,820","232,880","234,307","234,919","234,737","233,745","232,023"
"Sinaloa","266,364","265,719","264,719","263,281","261,670","259,918","258,090","256,215","248,141","245,855","243,815","242,332","241,442","241,615","242,011","242,450","242,696","242,748","244,299","245,763","246,981","247,362","247,032","245,852","243,971","241,578","238,691"
"Sonora","262,420","260,621","258,551","255,774","253,140","250,217","247,027","243,714","239,717","236,475","233,558","231,166","229,276","227,384","225,752","224,384","223,231","222,141","221,061","219,969","218,537","216,762","214,653","212,126","209,166","205,772","201,944"
"Tabasco","217,595","217,091","216,365","214,477","213,065","211,379","209,456","207,354","204,249","202,161","200,141","198,235","196,485","194,744","193,147","191,671","190,300","188,974","187,480","185,738","183,734","181,543","179,004","176,162","173,052","169,605","166,051"
"Tamaulipas","307,727","305,504","302,888","300,038","297,162","294,165","291,154","288,380","284,819","281,980","279,470","277,436","275,787","274,570","273,363","272,038","270,528","268,598","267,009","265,412","263,602","261,274","258,758","255,669","252,178","248,157","243,889"
"Tlaxcala","119,403","118,335","117,070","115,425","113,799","111,984","110,022","107,971","105,852","103,852","102,145","100,804","99,809","98,611","97,538","96,579","95,718","94,941","93,878","92,796","91,674","90,443","89,046","87,471","85,785","83,973","82,089"
"Veracruz de Ignacio de la Llave","713,526","713,180","710,932","702,638","696,546","688,302","678,343","666,978","649,096","637,700","628,290","621,420","617,145","614,776","614,402","615,967","619,652","625,763","634,269","642,492","649,930","656,105","660,269","662,373","661,894","659,104","653,651"
"Yucatán","186,811","187,258","187,442","186,934","186,464","185,605","184,393","182,855","181,367","179,034","176,604","174,140","171,787","169,397","167,036","164,696","162,255","159,638","157,092","154,725","152,362","149,433","146,859","144,166","141,211","138,256","135,277"
"Zacatecas","142,272","141,957","141,350","140,252","139,237","138,007","136,640","135,169","132,621","131,081","130,075","129,780","130,125","131,760","133,552","135,419","137,380","139,552","143,541","147,507","151,225","154,444","156,924","158,708","159,749","160,164","160,122"
