"","4.6.3.Tasa de alfabetización de las mujeres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morelos","170,393","171,130","171,555","171,615","171,292","170,568","169,451","168,009","166,327","164,359","162,376","160,605","159,185","158,476","157,847","157,286","156,945","156,735","156,734","156,513","156,082","155,381","154,350","152,996","151,334","149,391","147,180"
"Nayarit","108,523","107,772","106,938","105,954","104,807","103,545","102,178","100,667","99,117","97,562","96,141","94,928","93,959","93,451","93,031","92,637","92,334","92,150","92,102","91,901","91,563","91,039","90,336","89,453","88,398","87,190","85,857"
"Nuevo León","430,573","427,393","423,947","420,260","416,401","412,456","408,524","404,716","401,226","398,061","395,321","393,138","391,579","390,876","390,488","390,268","390,187","390,020","389,703","388,882","387,470","385,313","382,253","378,224","373,199","367,233","360,373"
"Oaxaca","383,398","384,997","385,625","385,171","383,656","381,396","378,698","375,601","372,491","368,951","365,785","363,672","362,905","362,084","361,435","360,704","360,113","359,755","357,653","355,218","352,422","349,155","345,420","341,370","337,147","332,843","328,341"
"Puebla","591,981","592,533","592,155","590,719","588,263","584,872","580,671","575,334","569,320","563,000","557,527","553,204","550,089","546,937","543,902","541,001","538,687","536,732","532,870","528,363","523,137","517,055","510,024","502,153","493,618","484,444","474,571"
"Querétaro","187,252","187,211","186,954","186,414","185,559","184,391","182,942","181,258","179,489","177,479","175,492","173,702","172,180","170,543","168,855","167,115","165,486","163,923","161,743","159,383","156,854","154,130","151,171","147,996","144,638","141,118","137,419"
"Quintana Roo","143,580","142,193","140,706","139,073","137,287","135,327","133,179","130,838","128,373","125,709","122,869","119,903","116,857","113,623","110,212","106,645","102,989","99,221","95,208","91,103","86,932","82,731","78,508","74,289","70,099","65,948","61,844"
"San Luis Potosí","255,660","256,008","255,928","255,366","254,262","252,659","250,703","248,437","245,942","243,174","240,582","238,446","236,857","236,119","235,495","234,989","234,875","235,100","235,502","235,675","235,630","235,266","234,507","233,406","232,010","230,236","227,933"
"Sinaloa","265,172","265,185","264,725","263,812","262,477","260,847","259,164","257,516","255,849","254,264","252,976","252,100","251,707","252,090","252,671","253,285","253,790","254,088","254,484","254,614","254,370","253,622","252,292","250,344","247,759","244,555","240,798"
"Sonora","256,042","254,229","252,119","249,669","246,873","243,750","240,380","236,939","233,582","230,293","227,293","224,723","222,654","220,847","219,342","218,091","217,099","216,193","214,974","213,708","212,225","210,458","208,350","205,878","203,036","199,855","196,355"
"Tabasco","217,262","218,093","218,848","219,494","220,003","220,363","220,549","220,543","220,427","220,107","219,620","219,022","218,320","217,429","216,366","215,083","213,551","211,730","209,379","206,577","203,329","199,657","195,569","191,110","186,351","181,387","176,287"
"Tamaulipas","304,898","303,539","301,907","299,980","297,802","295,450","293,069","290,891","288,894","286,823","284,847","283,143","281,770","280,815","279,839","278,738","277,489","275,840","273,799","271,605","269,240","266,616","263,619","260,186","256,297","251,963","247,225"
"Tlaxcala","119,804","119,266","118,608","117,819","116,909","115,882","114,782","113,654","112,569","111,431","110,412","109,570","108,924","108,187","107,442","106,651","105,839","104,969","103,654","102,214","100,638","98,919","97,042","95,020","92,895","90,695","88,434"
"Veracruz de Ignacio de la Llave","716,685","720,585","723,292","724,542","724,186","722,335","719,359","715,433","711,177","706,722","703,124","700,973","700,420","701,276","703,073","705,753","709,603","714,578","719,104","722,754","725,254","726,154","725,135","722,166","717,348","710,694","701,971"
"Yucatán","185,420","186,372","187,138","187,614","187,791","187,628","187,141","186,336","185,244","183,861","182,309","180,675","179,122","177,606","176,085","174,504","172,815","170,985","168,919","166,763","164,456","161,938","159,174","156,200","153,041","149,741","146,354"
"Zacatecas","145,338","145,766","146,040","146,067","145,823","145,381","144,849","144,239","143,602","142,807","142,146","141,766","141,735","142,506","143,239","143,853","144,550","145,344","146,458","147,367","148,147","148,733","149,059","149,142","148,997","148,621","147,978"
