"","3.1.2.Proporción de partos con asistencia de personal sanitario especializado","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Quintana Roo","27,460","28,289","28,157","27,683","27,155","25,491","24,070","25,711","25,050","24,375","24,139","22,820","21,429","20,960","21,297","21,436","22,279","21,001","19,849","19,098","18,960","18,805","18,771","18,411","17,818","16,656","16,185"
"San Luis Potosí","53,950","53,830","54,313","53,935","54,444","54,200","49,305","48,559","50,026","49,785","49,940","50,818","51,588","51,749","53,725","53,697","56,840","54,051","53,969","53,615","54,793","57,472","58,269","60,033","60,304","58,817","57,392"
"Sinaloa","50,027","55,440","55,275","53,537","54,155","54,588","52,056","52,587","53,881","52,235","52,337","37,297","49,346","51,535","53,144","53,267","55,331","55,926","57,068","57,951","58,743","60,428","62,133","61,322","60,410","57,308","56,288"
"Sonora","52,861","53,033","53,593","52,503","51,549","54,789","48,187","49,310","49,537","50,002","49,031","49,305","48,847","49,529","51,526","52,530","53,599","53,020","52,378","52,259","51,632","51,493","51,635","51,411","53,007","50,314","50,284"
"Tabasco","49,934","53,676","52,157","53,907","52,508","53,511","39,608","40,083","41,590","43,666","42,828","42,087","42,155","41,658","39,743","39,259","41,842","39,793","39,683","39,541","40,045","40,239","40,648","40,342","42,552","41,939","41,698"
"Tamaulipas","59,432","61,840","62,415","62,459","64,296","66,054","61,276","64,225","65,588","64,202","61,807","60,744","61,606","60,442","60,447","62,093","64,497","60,434","59,013","56,881","56,439","56,938","57,576","57,912","59,634","59,781","60,009"
"Tlaxcala","23,665","24,786","25,301","25,967","26,772","25,675","24,449","24,190","24,146","23,719","23,710","23,577","24,647","24,965","24,792","25,326","26,306","24,277","25,069","23,683","24,106","25,631","25,307","24,880","25,000","24,736","25,128"
"Veracruz de Ignacio de la Llave","136,897","137,328","132,978","135,594","138,595","140,764","134,957","132,154","129,804","127,892","125,045","124,050","126,298","129,278","131,441","131,155","135,645","133,906","137,966","134,832","135,595","141,366","142,795","141,401","142,839","144,757","147,323"
"Yucatán","40,969","41,093","41,266","40,379","41,188","40,397","36,197","37,078","36,232","36,197","35,973","35,488","33,616","37,408","37,800","38,136","39,613","37,491","37,271","37,121","37,901","40,135","40,883","41,220","41,183","39,818","40,152"
"Zacatecas","30,135","30,097","30,210","30,995","30,871","30,051","30,906","30,205","31,287","30,799","30,091","30,142","30,576","30,505","31,013","30,827","32,970","36,404","36,594","34,263","34,125","35,483","32,524","32,054","32,776","32,911","33,816"
