"","3.2.4.Proporción de niños de un año de edad con esquema básico completo de vacunación","","","","","","","","","","","","","","","","","","","","","",""
"Ciudad de México","126,862","121,750","127,979","123,690","123,666","122,417","108,324","74,393","84,731","87,689","86,688","73,312","70,228","52,446","64,792","76,607","73,712","56,901","123,825","129,305","94,331","131,874","NA"
"Durango","34,828","30,869","30,242","27,778","26,771","26,969","26,901","25,457","25,123","26,717","28,040","28,230","27,063","29,074","30,273","28,221","30,764","29,624","34,499","35,200","35,484","34,043","29,221"
"Guanajuato","127,147","111,488","107,299","99,609","91,793","90,766","94,805","106,622","103,779","103,779","113,188","112,010","111,370","110,363","114,849","109,177","100,300","99,052","113,842","114,171","108,087","111,417","105,252"
"Guerrero","71,988","68,082","46,169","61,947","56,596","53,473","50,800","62,918","69,554","68,867","74,193","76,381","75,495","75,138","82,187","73,972","68,325","72,983","87,024","88,450","85,874","84,712","75,697"
"Hidalgo","58,899","48,501","40,007","45,331","41,760","41,880","38,147","42,149","45,082","42,203","43,656","43,478","44,704","43,933","45,546","43,008","41,589","42,943","55,564","56,949","56,361","54,103","47,520"
"Jalisco","141,215","131,501","119,953","124,797","117,637","118,959","112,581","118,550","104,721","100,835","117,797","116,835","127,618","113,464","130,774","144,253","142,499","149,826","140,085","141,902","131,009","136,971","100,325"
"México","265,792","257,674","223,276","255,853","256,714","254,688","231,348","159,385","162,395","163,022","178,986","224,638","172,594","235,004","244,929","226,788","213,032","233,081","258,729","262,897","255,803","252,058","202,526"
"Michoacán de Ocampo","88,970","86,514","85,004","73,792","66,558","67,781","71,917","71,100","71,382","71,136","61,539","74,700","80,730","80,956","77,962","77,018","77,560","64,016","93,834","97,033","97,224","95,650","77,012"
"Morelos","35,538","31,655","33,067","28,679","27,121","27,423","27,997","25,851","26,185","25,322","25,949","27,480","25,627","26,453","28,866","25,161","26,414","29,071","32,666","34,754","32,438","32,832","33,231"
"Nayarit","21,280","20,739","19,101","17,379","15,730","15,023","17,029","16,613","16,733","16,148","16,494","15,416","15,851","15,456","15,509","18,099","16,261","16,447","20,610","21,275","21,437","20,745","19,827"
"Nuevo León","98,657","85,317","77,440","74,787","71,139","71,990","57,748","55,688","56,880","63,860","63,146","62,571","61,606","60,937","58,249","55,471","55,507","54,962","79,445","79,362","77,130","68,987","65,594"
"Oaxaca","70,815","69,796","60,123","66,744","58,033","58,416","56,039","58,939","61,437","60,367","65,269","62,163","63,764","64,344","68,540","69,108","64,687","68,072","82,038","85,929","83,698","77,222","62,080"
"Puebla","119,950","114,637","113,479","106,783","104,679","103,885","101,480","91,814","92,331","96,394","92,262","92,397","98,429","96,934","97,870","92,304","83,312","81,835","120,398","123,324","120,548","118,663","88,589"
"Querétaro","42,542","35,857","36,646","33,029","31,159","30,313","27,952","27,904","26,334","27,403","28,170","35,096","34,266","35,251","33,480","32,199","34,339","35,021","32,646","35,656","33,577","33,106","29,042"
"Quintana Roo","29,331","25,141","23,952","25,806","25,518","21,503","21,312","16,957","11,952","11,952","14,010","13,816","16,234","17,767","18,324","18,048","17,066","15,476","19,720","20,133","19,373","18,931","15,632"
"San Luis Potosí","59,229","52,318","48,873","45,883","43,000","42,947","37,955","43,768","40,924","43,064","43,043","41,535","41,804","37,974","43,043","41,318","40,537","42,581","52,319","56,544","54,209","52,395","45,681"
"Sinaloa","56,462","50,609","47,182","43,754","41,413","42,544","41,022","45,478","48,466","49,026","50,108","51,199","48,307","47,635","48,865","49,909","53,866","56,128","56,046","58,568","58,498","57,269","50,361"
"Sonora","55,503","49,952","37,921","43,843","40,692","42,015","41,648","46,701","45,234","42,768","46,434","48,075","45,729","44,172","43,550","41,339","44,695","45,363","45,224","49,257","48,573","46,526","39,099"
"Tabasco","49,177","45,277","50,558","38,893","35,346","36,494","40,217","38,378","39,019","40,732","40,740","44,115","42,325","41,950","43,319","42,608","41,366","40,537","47,101","48,149","48,195","47,575","42,808"
"Tamaulipas","66,443","55,643","56,620","53,492","52,653","51,025","50,088","44,452","46,002","45,773","46,413","37,912","39,225","43,508","42,471","39,707","41,239","45,642","55,106","56,738","51,798","50,775","41,509"
"Tlaxcala","27,831","23,352","23,755","21,481","21,305","20,424","21,119","20,546","20,954","21,078","19,773","19,809","11,331","21,087","21,837","20,438","20,439","22,182","24,050","24,568","23,563","20,322","17,833"
"Veracruz de Ignacio de la Llave","85,525","122,267","116,107","126,612","120,762","120,200","118,327","75,309","86,597","94,188","97,056","106,202","106,202","106,310","119,182","116,537","125,035","128,042","158,547","165,757","159,665","154,004","117,092"
"Yucatán","27,378","33,264","28,720","32,929","31,889","31,511","32,300","21,845","20,784","22,606","23,812","25,303","24,651","24,683","27,280","25,982","28,072","24,064","36,461","37,979","37,043","37,699","35,165"
"Zacatecas","31,785","29,890","30,675","25,100","23,270","23,435","26,110","22,708","23,716","24,265","24,106","23,210","23,147","23,866","24,229","23,893","25,070","27,964","34,402","35,264","35,336","34,748","31,540"
